Firefox Country,Firefox Continent,Firefox DAU,Firefox DAU %,Firefox stream Country Code,Firefox country lang,"firefox vpn availability in stream geo-location by 10th JUNE roll-out plan (1=YES, 0=NO)",stream supplier name (use correct brand letter casing),stream product name (use correct brand letter casing),"stream supplier all game availability 1=TRUE, 0=FALSE","stream offer entitlement
FREE, FREE TRIAL, FREE AND PAID, PAID","stream offer entitlement sort order
1=FIFA, 2=FREE, 3=FREE AND PAID, 4=FREE TRIAL,5=PAID",stream platform home page URL,stream URL,"show in other regions list (1=on, 0=off switch)","show in production (1=on, 0=off switch)","Mozilla VPN
tested set to local country? (1=TESTED, OR 0=NOT-TESTED)","Mozilla VPN
test results (2=tested and NOT working, 1=tested and working, 0=NOT-TESTED)","PLAYBACK
of stream tested? (2=tested and NOT working, 1=tested and working, 0=NOT-TESTED)","PIP
of stream playback tested? (2=tested and NOT working, 1=tested and working, 0=NOT-TESTED)",Editorial team Notes,Curator,stream availability source URL
Indonesia,Asia,"1,547,076",3.21%,ID,"id, Indonesian",0,FIFA,FIFA+,1,FREE & PAID,1,https://www.plus.fifa.com/,https://www.plus.fifa.com/showcase/fifa-world-cup-26tm/89de0054-9fa6-4741-88e1-a902dc26740f,0,1,1,1,1,1,Standardized URLs for ALL FIFA+ links. We rely on Fifa's own geo-IP detection to flip in the correct language subdirectoy path in their URL on load.,Alex D.,
Indonesia,Asia,"1,547,076",3.21%,ID,"id, Indonesian",0,TVRI Indonesia,TVRI Klik,0,FREE,2,https://klik.tvri.go.id/,https://klik.tvri.go.id/detailchannel/TVRI_CH_03,1,1,1,1,1,1,matches yet to be confirmed,Alex D.,https://www.livesoccertv.com/competitions/international/world-cup/watch/indonesia/
Italy,Europe,"1,347,066",2.79%,IT,"it, Italian",1,FIFA,FIFA+,1,FREE & PAID,1,https://www.plus.fifa.com/,https://www.plus.fifa.com/showcase/fifa-world-cup-26tm/89de0054-9fa6-4741-88e1-a902dc26740f,0,1,1,2,0,0,Standardized URLs for ALL FIFA+ links. We rely on Fifa's own geo-IP detection to flip in the correct language subdirectoy path in their URL on load.,Livia,
Italy,Europe,"1,347,066",2.79%,IT,"it, Italian",1,Rai,RaiPlay,0,FREE,2,https://www.raiplay.it/,https://www.raiplay.it/programmi/mondialidicalcio2026,1,1,1,2,0,0,RaiPlay blocks VPNs - I am using Mozilla VPN but in the past I used to have ExpressVPN and that one also got blocked.,Livia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_broadcasting_rights
Italy,Europe,"1,347,066",2.79%,IT,"it, Italian",1,DAZN,DAZN,1,PAID,5,https://www.dazn.com/it-IT/,https://www.dazn.com/it-IT/ ,1,1,1,2,0,0,DAZN also blocks VPNs - I am using Mozilla VPN. Otherwise I would have the direct stream URL.,Livia,https://dazngroup.com/press-room/in-italy-dazn-will-be-the-only-place-to-watch-the-entire-fifa-world-cup-2026/
Spain,Europe,"1,165,642",2.42%,ES,"es-ES, Spanish (Spain)",1,FIFA,FIFA+,1,FREE & PAID,1,https://www.plus.fifa.com/,https://www.plus.fifa.com/showcase/fifa-world-cup-26tm/89de0054-9fa6-4741-88e1-a902dc26740f,0,1,1,2,0,0,Standardized URLs for ALL FIFA+ links. We rely on Fifa's own geo-IP detection to flip in the correct language subdirectoy path in their URL on load.,Livia,
Spain,Europe,"1,165,642",2.42%,ES,"es-ES, Spanish (Spain)",1,RTVE,RTVE,0,FREE,2,https://www.rtve.es/play/,https://www.rtve.es/play/videos/copa-mundial-de-la-fifa-2026/,1,1,1,1,1,1,Only 17 matches will be broadcasted on the public broadcasting company RTVE.,Livia,https://www.eldiario.es/vertele/noticias/fifa-anuncia-17-partidos-fase-grupos-mundial-futbol-2026-rtve-emitira-abierto-gratis-la-1_1_13182864.html
Spain,Europe,"1,165,642",2.42%,ES,"es-ES, Spanish (Spain)",1,DAZN,DAZN,1,FREE TRIAL,4,https://www.dazn.com/es-ES/,https://www.dazn.com/es-ES/ ,1,1,1,2,0,0,DAZN blocks VPNs.,Livia,https://dazngroup.com/press-room/dazn-emitira-en-exclusiva-en-television-de-pago-el-canal-de-grup-mediapro-de-la-copa-mundial-de-la-fifa-2026/&ved=2ahUKEwi2tejFgaiUAxUyVqQEHVcGI3UQFnoECBcQAQ&usg=AOvVaw3ojsAFdOER7Hgj6jx2dMyx
Canada,Americas,"1,160,538",2.41%,CA,"en-CA, English (Canadian)",1,FIFA,FIFA+,1,FREE & PAID,1,https://www.plus.fifa.com/,https://www.plus.fifa.com/showcase/fifa-world-cup-26tm/89de0054-9fa6-4741-88e1-a902dc26740f,0,1,1,2,1,1,Standardized URLs for ALL FIFA+ links. We rely on Fifa's own geo-IP detection to flip in the correct language subdirectoy path in their URL on load.,Britt,
Canada,Americas,"1,160,538",2.41%,CA,"en-CA, English (Canadian)",1,TSN,TSN,1,FREE & PAID,3,https://www.tsn.ca/,https://www.tsn.ca/soccer/fifa-world-cup/,1,1,1,1,0,1,"It's not possible to test playback of livestream as you need a subscription, however PIP works for VOD. Might want to make a call if we should stream the landing page versus the streaming page. ",Britt,https://www.tsn.ca/soccer/fifa-world-cup/article/2026-fifa-world-cup-on-tsn-broadcast-schedule/
Canada,Americas,"1,160,538",2.41%,CA,"en-CA, English (Canadian)",1,RDS,RDS,1,FREE & PAID,3,https://www.rds.ca/,https://www.rds.ca/soccer/coupe-du-monde/,1,1,1,1,0,1,"Not possible to test playback of stream as you need a subscription, however PIP works in published VODs. might want to make a call if we should stream the landing page versus the streaming page. ",Britt,https://www.bellmedia.ca/the-lede/press/bell-media-extends-fifa-world-cup-soccer-package-2026/
Canada,Americas,"1,160,538",2.41%,CA,"en-CA, English (Canadian)",1,CTV,Crave,1,PAID,5,https://www.crave.ca/en,https://www.crave.ca/en/ctv,1,1,1,1,0,0,Not possible to test playback of streams or PIP as you need a subscription. This is one we'll want to check back closer to the WC and see if they have a dedicated landing page. ,Britt,https://www.bellmedia.ca/the-lede/press/bell-media-extends-fifa-world-cup-soccer-package-2026/
United Kingdom,Europe,"1,099,025",2.28%,GB,"en-GB, English (UK)",1,FIFA,FIFA+,1,FREE & PAID,1,https://www.plus.fifa.com/,https://www.plus.fifa.com/showcase/fifa-world-cup-26tm/89de0054-9fa6-4741-88e1-a902dc26740f,0,1,1,2,1,1,Standardized URLs for ALL FIFA+ links. We rely on Fifa's own geo-IP detection to flip in the correct language subdirectoy path in their URL on load.,Kimi,
United Kingdom,Europe,"1,099,025",2.28%,GB,"en-GB, English (UK)",1,BBC,BBC iPlayer,0,FREE,2,https://www.bbc.co.uk/iplayer,https://www.bbc.co.uk/iplayer/episodes/m002gjj0/fifa-world-cup-2026,1,1,1,1,0,0,,Kimi,https://www.live-footballontv.com/live-world-cup-football-on-tv.html
United Kingdom,Europe,"1,099,025",2.28%,GB,"en-GB, English (UK)",1,ITV,ITVX,0,FREE,2,https://www.itv.com/,https://www.itv.com/watch,1,1,1,1,0,0,Stream URL isn't World Cup specific,Kimi,https://www.live-footballontv.com/live-world-cup-football-on-tv.html
United Kingdom,Europe,"1,099,025",2.28%,GB,"en-GB, English (UK)",1,STV,STV Player,1,FREE,2,https://player.stv.tv/,https://player.stv.tv/live,1,1,1,1,0,0,Stream URL isn't World Cup specific,Kimi,https://www.live-footballontv.com/live-world-cup-football-on-tv.html
Mexico,Americas,"767,251",1.59%,MX,"es-MX, Spanish (Mexico)",1,FIFA,FIFA+,1,FREE & PAID,1,https://www.plus.fifa.com/,https://www.plus.fifa.com/showcase/fifa-world-cup-26tm/89de0054-9fa6-4741-88e1-a902dc26740f,0,1,1,2,0,0,Standardized URLs for ALL FIFA+ links. We rely on Fifa's own geo-IP detection to flip in the correct language subdirectoy path in their URL on load.,Corrie,https://digitalhub.fifa.com/m/af2cdbbd380d70c/original/FWC26-Media-Rights-Licensees-Overview.pdf
Mexico,Americas,"767,251",1.59%,MX,"es-MX, Spanish (Mexico)",1,TV Azteca,Azteca Deportes,0,FREE,2,https://www.tvazteca.com/aztecadeportes,https://envivo.tvazteca.com/,1,1,1,1,1,1,only select matches available,Corrie,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_broadcasting_rights
Mexico,Americas,"767,251",1.59%,MX,"es-MX, Spanish (Mexico)",1,TelevisaUnivision,ViX,1,FREE & PAID,3,https://vix.com/es-es/deportes,https://vix.com/es-es/canales ,1,1,1,1,1,1,,Corrie,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_broadcasting_rights
Australia,Oceania,"593,227",1.23%,AU,"en-GB, English (UK)",1,FIFA,FIFA+,1,FREE & PAID,1,https://www.plus.fifa.com/,https://www.plus.fifa.com/showcase/fifa-world-cup-26tm/89de0054-9fa6-4741-88e1-a902dc26740f,0,1,1,2,0,0,Standardized URLs for ALL FIFA+ links. We rely on Fifa's own geo-IP detection to flip in the correct language subdirectoy path in their URL on load.,Corrie,https://www.techradar.com/how-to-watch/football/fifa-world-cup-2026-free-anywhere-vpn-deal
Australia,Oceania,"593,227",1.23%,AU,"en-GB, English (UK)",1,SBS,SBS On Demand,1,FREE,2,https://www.sbs.com.au/,https://www.sbs.com.au/ondemand/watch/1726824003663,1,1,1,1,1,1,Sign-in required (worked once signed in),Corrie,https://www.techradar.com/how-to-watch/football/fifa-world-cup-2026-free-anywhere-vpn-deal
Netherlands,Europe,"583,396",1.21%,NL,"nl, Dutch",1,FIFA,FIFA+,1,FREE & PAID,1,https://www.plus.fifa.com/,https://www.plus.fifa.com/showcase/fifa-world-cup-26tm/89de0054-9fa6-4741-88e1-a902dc26740f,0,1,1,1,0,0,Standardized URLs for ALL FIFA+ links. We rely on Fifa's own geo-IP detection to flip in the correct language subdirectoy path in their URL on load.,Annemarie,
Netherlands,Europe,"583,396",1.21%,NL,"nl, Dutch",1,NPO,NPO,1,FREE,2,https://npo.nl/start,https://npo.nl/start/live,1,1,1,1,1,1,,Annemarie,https://npo.nl/start/live
Netherlands,Europe,"583,396",1.21%,NL,"nl, Dutch",1,NOS,NOS,1,FREE,2,https://nos.nl/sport,https://nos.nl/live,1,1,1,1,1,1,,Annemarie,https://nos.nl/live
Switzerland,Europe,"539,945",1.12%,CH,???,0,FIFA,FIFA+,1,FREE & PAID,1,https://www.plus.fifa.com/,https://www.plus.fifa.com/showcase/fifa-world-cup-26tm/89de0054-9fa6-4741-88e1-a902dc26740f,0,1,1,2,0,0,Standardized URLs for ALL FIFA+ links. We rely on Fifa's own geo-IP detection to flip in the correct language subdirectoy path in their URL on load.,Livia,
Switzerland,Europe,"539,945",1.12%,CH,"de, German",0,SRF,SRF,1,FREE,2,https://www.srf.ch/play/tv,https://www.srf.ch/play/tv/sport-livestreams,1,1,1,2,0,0,"In German. All three channels in the three languages are part of the same company, the public broadcaster SRG SSR. All block VPNs. As for the streaming link, they will stream some matches on some of their channels and others on others, hence no unique link available.",Livia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_broadcasting_rights
Switzerland,Europe,"539,945",1.12%,CH,"fr, French",0,RTS,RTS,1,FREE,2,https://www.rts.ch/play/tv,https://www.rts.ch/play/tv/rts-livestreams,1,1,1,2,0,0,"In French. VPNs are blocked. As for the streaming link, they will stream some matches on some of their channels and others on others, hence no unique link available.",Livia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_broadcasting_rights
Switzerland,Europe,"539,945",1.12%,CH,"it, Italian",0,RSI,RSI,1,FREE,2,https://www.rsi.ch/play/tv,https://www.rsi.ch/play/tv/streaming,1,1,1,2,0,0,"In Italian. VPNs are blocked. As for the streaming link, they will stream some matches on some of their channels and others on others, hence no unique link available.",Livia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_broadcasting_rights
Austria,Europe,"501,177",1.04%,AT,"de, German",1,FIFA,FIFA+,1,FREE & PAID,1,https://www.plus.fifa.com/,https://www.plus.fifa.com/showcase/fifa-world-cup-26tm/89de0054-9fa6-4741-88e1-a902dc26740f,0,1,1,2,1,1,Standardized URLs for ALL FIFA+ links. We rely on Fifa's own geo-IP detection to flip in the correct language subdirectoy path in their URL on load.,Annemarie,https://www.plus.fifa.com/de/live-schedule/competitions
Austria,Europe,"501,177",1.04%,AT,"de, German",1,ORF,ORF,1,FREE,2,https://orf.at/,https://on.orf.at/live,1,1,1,2,1,1,"I tested a different video, not live because it was not possible",Annemarie,https://on.orf.at/live
Austria,Europe,"501,177",1.04%,AT,"de, German",1,ServusTV,ServusTV,1,PAID,5,https://www.servustv.com/,https://www.servustv.com/de/epg,1,1,1,2,1,1,"I tested a different video, not live because it was not possible",Annemarie,https://www.servustv.com/de/epg
Czech Republic,Europe,"481,742",1.00%,CZ,"cs, Czech",0,FIFA,FIFA+,1,FREE & PAID,1,https://www.plus.fifa.com/,https://www.plus.fifa.com/showcase/fifa-world-cup-26tm/89de0054-9fa6-4741-88e1-a902dc26740f,0,1,1,2,0,0,Standardized URLs for ALL FIFA+ links. We rely on Fifa's own geo-IP detection to flip in the correct language subdirectoy path in their URL on load.,Livia,
Czech Republic,Europe,"481,742",1.00%,CZ,"cs, Czech",0,Česká televize,iVysílání,0,FREE,2,https://www.ceskatelevize.cz/ivysilani/,https://sport.ceskatelevize.cz/zive-vysilani,1,1,1,1,1,1,"Tested a live sports show and it worked, but there is no direct link to the Cup streaming available yet. They have licensed 50 games.",Livia,https://fwclive.com/broadcasting/ceska-televize/
Czech Republic,Europe,"481,742",1.00%,CZ,"cs, Czech",0,TV Nova,Nova Action,0,FREE,2,https://tv.nova.cz/,https://tv.nova.cz/sledujte-zive/1-nova,1,1,1,1,1,0,"Tested a live show and it worked (no PIP), but there is no direct link to the Cup streaming available yet. They have licensed 50 games. It's also not clear from the source whether on which channel they will stream, if TV Nova or Nova Action, according to it some matches will be shown on one channel and some on the other.",Livia,https://www.livesoccertv.com/channels/nova-sport-czech-republic/
Argentina,Americas,"411,130",0.85%,AR,"es-AR, Spanish (Argentina)",0,FIFA,FIFA+,1,FREE & PAID,1,https://www.plus.fifa.com/,https://www.plus.fifa.com/showcase/fifa-world-cup-26tm/89de0054-9fa6-4741-88e1-a902dc26740f,0,1,1,2,0,0,Standardized URLs for ALL FIFA+ links. We rely on Fifa's own geo-IP detection to flip in the correct language subdirectoy path in their URL on load.,Corrie,https://digitalhub.fifa.com/m/af2cdbbd380d70c/original/FWC26-Media-Rights-Licensees-Overview.pdf
Argentina,Americas,"411,130",0.85%,AR,"es-AR, Spanish (Argentina)",0,TV Pública,TVP,0,FREE,2,https://www.tvpublica.com.ar/,https://www.tvpublica.com.ar/,1,1,1,1,1,1,TV Pública and Telefe will be sharing free streaming rights; schedules TBD,Corrie,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_broadcasting_rights
Argentina,Americas,"411,130",0.85%,AR,"es-AR, Spanish (Argentina)",0,Pluto TV,Pluto TV,0,FREE TRIAL,4,https://pluto.tv/,https://pluto.tv/latam/live-tv/66997d18a1b69e00082ee85f?lang=en,1,1,1,1,1,2,access FIFA+ via Pluto TV free trial ; no PIP available from what i can see,Corrie,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_broadcasting_rights
Argentina,Americas,"411,130",0.85%,AR,"es-AR, Spanish (Argentina)",0,Paramount+,Paramount+,1,PAID,5,https://www.paramountplus.com/ar/,https://www.paramountplus.com/ar/,1,1,1,2,0,0,"KG: Got a 406 error code when trying to access via VPN.
CE: when using Mozilla paid VPN, I get a 403 error when I click ""subscribe to paramount+ on the stream URL ",Kimi (added as found for Chile) + Corrie,https://cveintiuno.com/paramount-adquiere-los-derechos-completos-del-mundial-2026-para-argentina-chile-colombia-ecuador-peru-y-uruguay/
Hungary,Europe,"397,461",0.82%,HU,"hu, Hungarian",0,FIFA,FIFA+,0,FREE & PAID,1,https://www.plus.fifa.com/,https://www.plus.fifa.com/showcase/fifa-world-cup-26tm/89de0054-9fa6-4741-88e1-a902dc26740f,0,1,1,2,0,0,Standardized URLs for ALL FIFA+ links. We rely on Fifa's own geo-IP detection to flip in the correct language subdirectoy path in their URL on load.,Annemarie,???
Hungary,Europe,"397,461",0.82%,HU,"hu, Hungarian",0,M4sport,M4sport,1,FREE,2,https://m4sport.hu/,https://m4sport.hu/elo/mtv4live/,1,1,1,0,1,1,,Annemarie,https://m4sport.hu/elo/mtv4live/
Hungary,Europe,"397,461",0.82%,HU,"hu, Hungarian",0,MÉDIAKLIKK,MÉDIAKLIKK,1,FREE,2,https://mediaklikk.hu,https://mediaklikk.hu/elo/dunalive/,1,1,1,0,1,1,,Annemarie,https://mediaklikk.hu/elo/dunalive/
Belgium,Europe,"369,344",0.77%,BE,???,1,FIFA,FIFA+,1,FREE & PAID,1,https://www.plus.fifa.com/,https://www.plus.fifa.com/showcase/fifa-world-cup-26tm/89de0054-9fa6-4741-88e1-a902dc26740f,0,1,1,2,0,0,Standardized URLs for ALL FIFA+ links. We rely on Fifa's own geo-IP detection to flip in the correct language subdirectoy path in their URL on load.,Livia ,
Belgium,Europe,"369,344",0.77%,BE,"fr, French",1,RTBF,RTBF,1,FREE,2,https://auvio.rtbf.be/direct,https://auvio.rtbf.be/categorie/football-11,1,1,1,1,1,1,In French.,Livia,https://www.7sur7.be/monde/la-rtbf-diffusera-finalement-lensemble-des-matches-de-la-coupe-du-monde-2026~a00e2e87/?referrer=https%3A%2F%2Fwww.google.com%2F
Belgium,Europe,"369,344",0.77%,BE,"nl, Dutch",1,VRT,VRT 1,1,FREE,2,https://www.vrt.be/vrtmax/kanalen/vrt1/,https://www.vrt.be/vrtmax/kanalen/sporza/,1,1,1,1,1,1,In Flemish.,Livia,https://worldcupglobal.com/nl/watch/
Ecuador,Americas,"343,907",0.71%,EC,"es-MX, Spanish (Mexico)",0,FIFA,FIFA+,1,FREE & PAID,1,https://www.plus.fifa.com/,https://www.plus.fifa.com/showcase/fifa-world-cup-26tm/89de0054-9fa6-4741-88e1-a902dc26740f,0,1,1,0,0,0,Standardized URLs for ALL FIFA+ links. We rely on Fifa's own geo-IP detection to flip in the correct language subdirectoy path in their URL on load.,Livia,
Ecuador,Americas,"343,907",0.71%,EC,"es-MX, Spanish (Mexico)",0,Teleamazonas,Teleamazonas,0,FREE,2,https://www.teleamazonas.com/teleamazonas-en-vivo/,https://www.teleamazonas.com/teleamazonas-en-vivo/,1,1,1,0,0,0,Mozilla VPN does not have Ecuador as country available.,Livia,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_broadcasting_rights
